time_stamp,elapsed_time,,,,,
1618147483808,5610,,,,,
1618147501494,5610,,,,,
1618147514538,5610,,,,,
1618147558931,5610,,,,,
1618147574180,5610,,,,,
1618147581134,5610,,,,,
1618147592522,5610,,,,,
1618147599832,5610,,,,,
1618147634851,5610,,,,,
1618147636261,5610,,,,,
1618147669741,5610,,,,,
1618147670637,5610,,,,,
1618147676640,5610,,,,,
1618147683495,5610,,,,,
1618147688974,5610,,,,,
1618147113581,5611,,,,,
1618147119636,5611,,,,,
1618147138019,5611,,,,,
1618147143027,5611,,,,,
1618147162609,5611,,,,,
1618147171172,5611,,,,,
1618147198098,5611,,,,,
1618147230841,5611,,,,,
1618147231845,5611,,,,,
1618147267650,5611,,,,,
1618147276973,5611,,,,,
1618147283592,5611,,,,,
1618147285856,5611,,,,,
1618147305710,5611,,,,,
1618147306595,5611,,,,,
1618147307840,5611,,,,,
1618147318040,5611,,,,,
1618147351212,5611,,,,,
1618147361210,5611,,,,,
1618147402977,5611,,,,,
1618147444727,5611,,,,,
1618147518137,5611,,,,,
1618147528761,5611,,,,,
1618147554373,5611,,,,,
1618147583197,5611,,,,,
1618147590425,5611,,,,,
1618147624277,5611,,,,,
1618147636275,5611,,,,,
1618147638645,5611,,,,,
1618147640011,5611,,,,,
1618147092021,5612,,,,,
1618147104527,5612,,,,,
1618147104531,5612,,,,,
1618147125627,5612,,,,,
1618147126064,5612,,,,,
1618147222658,5612,,,,,
1618147250375,5612,,,,,
1618147265891,5612,,,,,
1618147266860,5612,,,,,
1618147276977,5612,,,,,
1618147301688,5612,,,,,
1618147329507,5612,,,,,
1618147330688,5612,,,,,
1618147346626,5612,,,,,
1618147347990,5612,,,,,
1618147357117,5612,,,,,
1618147378664,5612,,,,,
1618147386950,5612,,,,,
1618147387032,5612,,,,,
1618147409859,5612,,,,,
1618147418027,5612,,,,,
1618147524896,5612,,,,,
1618147555598,5612,,,,,
1618147572806,5612,,,,,
1618147609221,5612,,,,,
1618147625999,5612,,,,,
1618147684463,5612,,,,,
1618147099759,5613,,,,,
1618147113911,5613,,,,,
1618147117018,5613,,,,,
1618147137404,5613,,,,,
1618147152973,5613,,,,,
1618147167043,5613,,,,,
1618147225997,5613,,,,,
1618147228513,5613,,,,,
1618147230792,5613,,,,,
1618147243815,5613,,,,,
1618147254415,5613,,,,,
1618147255571,5613,,,,,
1618147265167,5613,,,,,
1618147275222,5613,,,,,
1618147328672,5613,,,,,
1618147328861,5613,,,,,
1618147346664,5613,,,,,
1618147366168,5613,,,,,
1618147427221,5613,,,,,
1618147522180,5613,,,,,
1618147579867,5613,,,,,
1618147586701,5613,,,,,
1618147588957,5613,,,,,
1618147590535,5613,,,,,
1618147592056,5613,,,,,
1618147596200,5613,,,,,
1618147606723,5613,,,,,
1618147639702,5613,,,,,
1618147641935,5613,,,,,
1618147667852,5613,,,,,
1618147673563,5613,,,,,
1618147100085,5614,,,,,
1618147111675,5614,,,,,
1618147113695,5614,,,,,
1618147129677,5614,,,,,
1618147129698,5614,,,,,
1618147151965,5614,,,,,
1618147158323,5614,,,,,
1618147181183,5614,,,,,
1618147211857,5614,,,,,
1618147248997,5614,,,,,
1618147260904,5614,,,,,
1618147275223,5614,,,,,
1618147280153,5614,,,,,
1618147312966,5614,,,,,
1618147330202,5614,,,,,
1618147361128,5614,,,,,
1618147370010,5614,,,,,
1618147383058,5614,,,,,
1618147398141,5614,,,,,
1618147447086,5614,,,,,
1618147522224,5614,,,,,
1618147524710,5614,,,,,
1618147544445,5614,,,,,
1618147558918,5614,,,,,
1618147559190,5614,,,,,
1618147561940,5614,,,,,
1618147603794,5614,,,,,
1618147615424,5614,,,,,
1618147617160,5614,,,,,
1618147648095,5614,,,,,
1618147662031,5614,,,,,
1618147663741,5614,,,,,
1618147671709,5614,,,,,
1618147119897,5615,,,,,
1618147140070,5615,,,,,
1618147166947,5615,,,,,
1618147176258,5615,,,,,
1618147199937,5615,,,,,
1618147239366,5615,,,,,
1618147265147,5615,,,,,
1618147266910,5615,,,,,
1618147283675,5615,,,,,
1618147289367,5615,,,,,
1618147293046,5615,,,,,
1618147307097,5615,,,,,
1618147319338,5615,,,,,
1618147328421,5615,,,,,
1618147344987,5615,,,,,
1618147353017,5615,,,,,
1618147355445,5615,,,,,
1618147368500,5615,,,,,
1618147441415,5615,,,,,
1618147458707,5615,,,,,
1618147485005,5615,,,,,
1618147508426,5615,,,,,
1618147521853,5615,,,,,
1618147557913,5615,,,,,
1618147559177,5615,,,,,
1618147606397,5615,,,,,
1618147607406,5615,,,,,
1618147608988,5615,,,,,
1618147618579,5615,,,,,
1618147621185,5615,,,,,
1618147660573,5615,,,,,
1618147660574,5615,,,,,
1618147663856,5615,,,,,
1618147670705,5615,,,,,
1618147676602,5615,,,,,
1618147691796,5615,,,,,
1618147696268,5615,,,,,
1618147140946,5616,,,,,
1618147161226,5616,,,,,
1618147183142,5616,,,,,
1618147211180,5616,,,,,
1618147219203,5616,,,,,
1618147227252,5616,,,,,
1618147228511,5616,,,,,
1618147288120,5616,,,,,
1618147297581,5616,,,,,
1618147309412,5616,,,,,
1618147334528,5616,,,,,
1618147336971,5616,,,,,
1618147346188,5616,,,,,
1618147351069,5616,,,,,
1618147362173,5616,,,,,
1618147372593,5616,,,,,
1618147384796,5616,,,,,
1618147384936,5616,,,,,
1618147390186,5616,,,,,
1618147417991,5616,,,,,
1618147419086,5616,,,,,
1618147431503,5616,,,,,
1618147455697,5616,,,,,
1618147456953,5616,,,,,
1618147482174,5616,,,,,
1618147489805,5616,,,,,
1618147491711,5616,,,,,
1618147522246,5616,,,,,
1618147556600,5616,,,,,
1618147576730,5616,,,,,
1618147588818,5616,,,,,
1618147592053,5616,,,,,
1618147612491,5616,,,,,
1618147624082,5616,,,,,
1618147624712,5616,,,,,
1618147661302,5616,,,,,
1618147691589,5616,,,,,
1618147693281,5616,,,,,
1618147209644,5617,,,,,
1618147213674,5617,,,,,
1618147250386,5617,,,,,
1618147252112,5617,,,,,
1618147254107,5617,,,,,
1618147259211,5617,,,,,
1618147276027,5617,,,,,
1618147283687,5617,,,,,
1618147283722,5617,,,,,
1618147289924,5617,,,,,
1618147296029,5617,,,,,
1618147329488,5617,,,,,
1618147337829,5617,,,,,
1618147348540,5617,,,,,
1618147351325,5617,,,,,
1618147368522,5617,,,,,
1618147378692,5617,,,,,
1618147428813,5617,,,,,
1618147444728,5617,,,,,
1618147455396,5617,,,,,
1618147510633,5617,,,,,
1618147514627,5617,,,,,
1618147537282,5617,,,,,
1618147548809,5617,,,,,
1618147557554,5617,,,,,
1618147574187,5617,,,,,
1618147585383,5617,,,,,
1618147607424,5617,,,,,
1618147615708,5617,,,,,
1618147685822,5617,,,,,
1618147690817,5617,,,,,
1618147695869,5617,,,,,
1618147095740,5618,,,,,
1618147108506,5618,,,,,
1618147137979,5618,,,,,
1618147220826,5618,,,,,
1618147243822,5618,,,,,
1618147261779,5618,,,,,
1618147262633,5618,,,,,
1618147275290,5618,,,,,
1618147306571,5618,,,,,
1618147307125,5618,,,,,
1618147321064,5618,,,,,
1618147332701,5618,,,,,
1618147353821,5618,,,,,
1618147357155,5618,,,,,
1618147370064,5618,,,,,
1618147379331,5618,,,,,
1618147393293,5618,,,,,
1618147444721,5618,,,,,
1618147479505,5618,,,,,
1618147489580,5618,,,,,
1618147493839,5618,,,,,
1618147517359,5618,,,,,
1618147534296,5618,,,,,
1618147555599,5618,,,,,
1618147557963,5618,,,,,
